"28";"1";"0";"0";"1";"0";"whats the dumbest qestion";"5";"1192512077";"0";"1773";"18";"18";"0";"0";"175";"a.ron";"AA0000";"6016";"1863";"highballer";;"Re: whats the dumbest qestion";"1257546415";"1341968285";"0";"0";"0";;"0";"0";"1";"0";"0"
"29";"4";"0";"0";"1";"0";"comp at boulderdash on Sat";"5";"1192867280";"0";"704";"5";"5";"0";"0";"191";"a.ron";"AA0000";"4589";"24";"Stretch";;"Re: Re:";"1229605231";"1348501146";"0";"0";"0";;"0";"0";"1";"0";"0"
"30";"4";"0";"0";"1";"0";"the world is void w/o rockreation";"5";"1192943482";"0";"806";"9";"9";"0";"0";"196";"a.ron";"AA0000";"366";"5";"a.ron";"AA0000";;"1193933266";"1348314134";"0";"0";"0";"Rockreation is awsome!?!";"1192943482";"0";"1";"1209525145";"0"
"341";"1";"0";"0";"1";"0";"Wounded Knee";"9";"1213239585";"0";"442";"7";"7";"0";"0";"2913";"FOREmer Golfer";;"2934";"5";"a.ron";"AA0000";"Re: Wounded Knee";"1213662674";"1348331351";"0";"0";"0";;"0";"0";"1";"0";"0"
"32";"1";"0";"0";"1";"0";"sissy post";"21";"1193119425";"0";"615";"5";"5";"0";"0";"209";"fraction";"AA0000";"218";"5";"a.ron";"AA0000";;"1193242252";"1348517430";"0";"0";"0";;"0";"0";"1";"0";"0"
"34";"6";"0";"0";"1";"0";"Halloween Party Yo";"5";"1193288553";"0";"1884";"16";"16";"0";"0";"222";"a.ron";"AA0000";"546";"29";"borracho bouldererist";;;"1194662694";"1348480718";"0";"0";"0";;"0";"0";"1";"0";"0"
"35";"1";"0";"0";"1";"0";"The B-Scale";"3";"1193323085";"0";"1769";"19";"19";"0";"0";"224";"rtm";"AA0000";"2369";"3";"rtm";"AA0000";"Re: The B-Scale";"1208372579";"1348493988";"0";"0";"0";"Would you like to see the B-Scale make a comeback?";"1193323085";"0";"1";"0";"0"
"36";"4";"0";"0";"1";"0";"Halloween comp at Beach City Rocks";"23";"1193333871";"0";"898";"9";"9";"0";"0";"242";"B_Held";;"638";"23";"B_Held";;;"1195094519";"1346781475";"0";"0";"0";;"0";"0";"1";"0";"0"
"37";"1";"0";"0";"1";"0";"Vanishing Point";"23";"1193333963";"0";"564";"6";"6";"0";"0";"243";"B_Held";;"252";"5";"a.ron";"AA0000";;"1193373316";"1348518063";"0";"0";"0";;"0";"0";"1";"0";"0"
"39";"6";"0";"0";"1";"0";"What is a rant again?";"24";"1193417943";"0";"425";"1";"1";"0";"0";"263";"Stretch";;"280";"3";"rtm";"AA0000";;"1193577646";"1348359175";"0";"0";"0";;"0";"0";"1";"0";"0"
"40";"6";"0";"0";"1";"0";"Ranting";"5";"1193549494";"0";"483";"4";"4";"0";"0";"274";"a.ron";"AA0000";"301";"21";"fraction";"AA0000";;"1193680997";"1348217367";"0";"0";"0";;"0";"0";"1";"0";"0"
"41";"1";"0";"0";"1";"0";"Fires";"24";"1193552034";"0";"459";"4";"4";"0";"0";"277";"Stretch";;"303";"5";"a.ron";"AA0000";;"1193682055";"1348146268";"0";"0";"0";;"0";"0";"1";"0";"0"
"42";"6";"0";"0";"1";"0";"Flakey people suck!";"3";"1193577524";"0";"760";"7";"7";"0";"0";"279";"rtm";"AA0000";"310";"5";"a.ron";"AA0000";;"1193688257";"1348478479";"0";"0";"0";;"0";"0";"1";"0";"0"
"44";"6";"0";"0";"1";"0";"Ugly people having sex";"18";"1193616858";"0";"765";"5";"5";"0";"0";"290";"bleeder";;"784";"16";"socalbolter";;;"1196198371";"1348488820";"0";"0";"0";;"0";"0";"1";"0";"0"
"45";"1";"0";"0";"1";"0";"Dark Matter Vid";"9";"1193662641";"0";"445";"3";"3";"0";"0";"292";"FOREmer Golfer";;"358";"3";"rtm";"AA0000";;"1193926503";"1348437410";"0";"0";"0";;"0";"0";"1";"0";"0"
"46";"1";"0";"0";"1";"0";"The Cariso boulders sans manzenita";"29";"1193676667";"0";"377";"0";"0";"0";"0";"299";"borracho bouldererist";;"299";"29";"borracho bouldererist";;"The Cariso boulders sans manzenita";"1193676667";"1347261473";"0";"0";"0";;"0";"0";"1";"0";"0"
"47";"1";"0";"0";"1";"0";"Fallen Angel is Paul Andersons low traverse";"20";"1193686335";"0";"789";"6";"6";"0";"0";"308";"dameat";;"2908";"675";"andoman";;"Re: Fallen Angel is Paul Andersons low traverse";"1213121251";"1347968936";"0";"0";"0";;"0";"0";"1";"0";"0"
"48";"4";"0";"0";"1";"0";"Setting Skills";"29";"1193768007";"0";"2095";"22";"22";"0";"0";"315";"borracho bouldererist";;"4326";"24";"Stretch";;"Re: Setting Skills";"1226520158";"1348533143";"0";"0";"0";"Who's the fairest of them all?";"1193768007";"0";"1";"1226513186";"0"
"49";"6";"0";"0";"1";"0";"Wings anyone?";"5";"1193801358";"0";"462";"2";"2";"0";"0";"323";"a.ron";"AA0000";"340";"5";"a.ron";"AA0000";;"1193846803";"1348401018";"0";"0";"0";;"0";"0";"1";"0";"0"
"51";"9";"0";"0";"1";"0";"why no primary topic covering the website?";"30";"1193856534";"0";"740";"4";"4";"0";"0";"342";"Satyagraha";;"394";"5";"a.ron";"AA0000";;"1193986500";"1347621544";"0";"0";"0";;"0";"0";"1";"0";"0"
"52";"6";"0";"0";"1";"0";"Dameat, post up here";"14";"1193869891";"0";"709";"3";"3";"0";"0";"345";"oldskool5150";;"2669";"29";"borracho bouldererist";;"Re: Dameat, post up here";"1210354594";"1348478068";"0";"0";"0";;"0";"0";"1";"0";"0"
"53";"6";"0";"0";"1";"0";"v0 The Notch R/X";"5";"1193895598";"0";"1858";"23";"23";"0";"0";"355";"a.ron";"AA0000";"592";"24";"Stretch";;;"1194882575";"1348477659";"0";"0";"0";;"0";"0";"1";"0";"0"
"54";"6";"0";"0";"1";"0";"Joe Morgan";"3";"1193934785";"0";"1694";"7";"7";"0";"0";"371";"rtm";"AA0000";"4136";"289";"Thor";;"Re: Joe Morgan";"1224720055";"1347456188";"0";"0";"0";;"0";"0";"1";"0";"0"
"55";"1";"0";"0";"1";"0";"ElectroGecko aka giant geckos greedily gobbling gooey gobs";"29";"1194062256";"0";"745";"8";"8";"0";"0";"410";"borracho bouldererist";;"657";"5";"a.ron";"AA0000";;"1195285015";"1347045460";"0";"0";"0";;"0";"0";"1";"0";"0"
"56";"4";"0";"0";"1";"0";"Hangar 18 comp 11/3";"23";"1194144001";"0";"575";"3";"3";"0";"0";"414";"B_Held";;"451";"21";"fraction";"AA0000";;"1194367258";"1346782316";"0";"0";"0";;"0";"0";"1";"0";"0"
"57";"6";"0";"0";"1";"0";"Perpetual Darkness";"3";"1194147225";"0";"525";"3";"3";"0";"0";"415";"rtm";"AA0000";"430";"5";"a.ron";"AA0000";;"1194277702";"1348369850";"0";"0";"0";;"0";"0";"1";"0";"0"
"60";"1";"0";"0";"1";"0";"just what i needed";"1";"1194246608";"0";"353";"2";"2";"0";"0";"421";"xztheericzx";;"427";"5";"a.ron";"AA0000";;"1194277446";"1347120358";"0";"0";"0";;"0";"0";"1";"0";"0"
"61";"7";"0";"0";"1";"0";"Case Study #14";"3";"1194282708";"0";"1991";"23";"23";"0";"0";"431";"rtm";"AA0000";"635";"3";"rtm";"AA0000";;"1195067213";"1348373581";"0";"0";"0";;"0";"0";"1";"0";"0"
"65";"4";"0";"0";"1";"0";"purchasing holds for home wall";"21";"1194375364";"0";"964";"11";"11";"0";"0";"455";"fraction";"AA0000";"489";"21";"fraction";"AA0000";"Re: Holds";"1194465240";"1348524272";"0";"0";"0";;"0";"0";"1";"0";"0"
"67";"9";"0";"0";"1";"0";"Fred Rouhling vid";"3";"1194415137";"0";"625";"4";"4";"0";"0";"479";"rtm";"AA0000";"720";"5";"a.ron";"AA0000";;"1195661116";"1348502600";"0";"0";"0";;"0";"0";"1";"0";"0"
"68";"1";"0";"0";"1";"0";"tram - day before thanksgiving";"21";"1194450749";"0";"3249";"44";"44";"0";"0";"488";"fraction";"AA0000";"757";"53";"2stars";;;"1196101834";"1348514850";"0";"0";"0";;"0";"0";"1";"0";"0"
"72";"1";"0";"0";"1";"0";"new bouldering";"14";"1194489490";"0";"639";"9";"9";"0";"0";"496";"oldskool5150";;"533";"24";"Stretch";;;"1194622653";"1348210455";"0";"0";"0";;"0";"0";"1";"0";"0"
"77";"1";"0";"0";"1";"0";"The Forest is Open";"10";"1194536379";"0";"321";"1";"1";"0";"0";"516";"SupaFreaky";;"524";"3";"rtm";"AA0000";;"1194583897";"1347023901";"0";"0";"0";;"0";"0";"1";"0";"0"
"80";"6";"0";"1";"1";"0";"PDizzle";"3";"1194583739";"0";"1339";"20";"20";"0";"0";"523";"rtm";"AA0000";"3304";"5";"a.ron";"AA0000";"Re: PDizzle";"1217792244";"1347750157";"0";"0";"0";;"0";"0";"1";"0";"0"
"86";"1";"0";"0";"1";"0";"JoMo";"23";"1194655678";"0";"491";"4";"4";"0";"0";"540";"B_Held";;"566";"29";"borracho bouldererist";;;"1194802015";"1346980439";"0";"0";"0";;"0";"0";"1";"0";"0"
"106";"1";"0";"0";"1";"0";"freakin rain - what'd you do instead?";"21";"1194839296";"0";"374";"4";"4";"0";"0";"568";"fraction";"AA0000";"576";"21";"fraction";"AA0000";;"1194847993";"1347966675";"0";"0";"0";;"0";"0";"1";"0";"0"
"110";"6";"0";"0";"1";"0";"training weight";"5";"1194848661";"0";"688";"10";"10";"0";"0";"578";"a.ron";"AA0000";"3449";"289";"Thor";;"Re: training weight";"1218849708";"1347610576";"0";"0";"0";;"0";"0";"1";"0";"0"
"111";"6";"0";"0";"1";"0";"how to upload photos for dummies";"5";"1194849337";"0";"493";"1";"1";"0";"1";"580";"a.ron";"AA0000";"590";"3";"rtm";"AA0000";;"1194880918";"1348539340";"0";"0";"0";;"0";"0";"1";"0";"0"
"112";"6";"0";"0";"1";"0";"fraction's 2007 pics";"21";"1194850108";"0";"666";"1";"1";"0";"0";"584";"fraction";"AA0000";"596";"29";"borracho bouldererist";;;"1194919308";"1348539816";"0";"0";"0";;"0";"0";"1";"0";"0"
"126";"6";"0";"0";"1";"0";"Weekend in Joshua Tree";"32";"1194998993";"0";"725";"3";"3";"0";"0";"610";"kuntakinte";;"4709";"5";"a.ron";"AA0000";"Re: Weekend in Joshua Tree";"1231275149";"1347876479";"0";"0";"0";;"0";"0";"1";"0";"0"
"127";"6";"0";"0";"1";"0";"Flying with Hargis";"29";"1195001523";"0";"572";"2";"2";"0";"0";"611";"borracho bouldererist";;"641";"5";"a.ron";"AA0000";;"1195102768";"1348356864";"0";"0";"0";;"0";"0";"1";"0";"0"
"130";"6";"0";"0";"1";"0";"Josh and Tram";"29";"1195012654";"0";"824";"7";"7";"0";"0";"614";"borracho bouldererist";;"828";"21";"fraction";"AA0000";;"1196383918";"1348489752";"0";"0";"0";;"0";"0";"1";"0";"0"
"138";"6";"0";"0";"1";"0";"Hargis flying! Holy F#%k";"3";"1195058392";"0";"633";"4";"4";"0";"0";"627";"rtm";"AA0000";"776";"3";"rtm";"AA0000";;"1196179383";"1348487617";"0";"0";"0";;"0";"0";"1";"0";"0"
"282";"1";"0";"0";"1";"0";"Malibu Creek TOMORROW!";"98";"1207951122";"0";"306";"7";"7";"0";"0";"2287";"JPace";;"2304";"98";"JPace";;"Re: Malibu Creek TOMORROW!";"1207979312";"1348168089";"0";"0";"0";;"0";"0";"1";"0";"0"
"140";"7";"0";"0";"1";"0";"Case Study #15";"3";"1195069420";"0";"976";"9";"9";"0";"0";"636";"rtm";"AA0000";"733";"5";"a.ron";"AA0000";;"1195741477";"1348302024";"0";"0";"0";;"0";"0";"1";"0";"0"
"141";"1";"0";"0";"1";"0";"buttermilks - what's this problem?";"21";"1195268791";"0";"727";"8";"8";"0";"0";"651";"fraction";"AA0000";"771";"5";"a.ron";"AA0000";;"1196147605";"1348159207";"0";"0";"0";;"0";"0";"1";"0";"0"
"142";"1";"0";"0";"1";"0";"going to northern socal (bishop) thanksgiving";"5";"1195286078";"0";"1206";"16";"16";"0";"0";"662";"a.ron";"AA0000";"739";"5";"a.ron";"AA0000";;"1195835112";"1348470283";"0";"0";"0";;"0";"0";"1";"0";"0"
"143";"1";"0";"0";"1";"0";"Malibu Tunnel Boulders";"21";"1195431763";"0";"654";"5";"5";"0";"0";"672";"fraction";"AA0000";"726";"16";"socalbolter";;;"1195687820";"1346845807";"0";"0";"0";;"0";"0";"1";"0";"0"
"144";"9";"0";"0";"1";"0";"Tram Problem of the Day (11/19/07)";"10";"1195496306";"0";"1812";"17";"17";"0";"0";"684";"SupaFreaky";;"751";"5";"a.ron";"AA0000";;"1196092912";"1348466340";"0";"0";"0";;"0";"0";"1";"0";"0"
"145";"1";"0";"0";"1";"0";"Tar Creek";"18";"1195619192";"0";"660";"5";"5";"0";"0";"706";"bleeder";;"1041";"17";"brian.b";;;"1197757468";"1348038514";"0";"0";"0";;"0";"0";"1";"0";"0"
"146";"1";"0";"0";"1";"0";"Josh on Sunday?";"21";"1195870518";"0";"337";"1";"1";"0";"0";"742";"fraction";"AA0000";"745";"21";"fraction";"AA0000";;"1195973758";"1347047063";"0";"0";"0";;"0";"0";"1";"0";"0"
"147";"1";"0";"0";"1";"0";"BISHOP ROAD TRIP -goes to steele valley- THIS WEEKEND";"9";"1196031075";"0";"2541";"40";"40";"0";"0";"746";"FOREmer Golfer";;"859";"21";"fraction";"AA0000";;"1196447865";"1348524663";"0";"0";"0";;"0";"0";"1";"0";"0"
"148";"1";"0";"0";"1";"0";"Tram this Saturday - 12-1";"23";"1196177357";"0";"1909";"25";"25";"0";"0";"773";"B_Held";;"864";"21";"fraction";"AA0000";;"1196451148";"1348471261";"0";"0";"0";;"0";"0";"1";"0";"0"
"149";"1";"0";"0";"1";"0";"TR - Tram and Joshua Tree - Thanksgiving Weekend";"21";"1196207426";"0";"428";"2";"2";"0";"0";"786";"fraction";"AA0000";"793";"21";"fraction";"AA0000";;"1196216106";"1348384658";"0";"0";"0";;"0";"0";"1";"0";"0"
"150";"1";"0";"0";"1";"0";"SoCal Bolderers";"69";"1196229454";"0";"845";"10";"10";"0";"0";"798";"Natasha";;"988";"24";"Stretch";;;"1197352708";"1348221639";"0";"0";"0";;"0";"0";"1";"0";"0"
